scenario,attribute,process,commodity,lim_type,time_slice,year,commodity_group,currency,stage,sow,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2015,\-,\-,\-,\-,0.08,1.6,0.05,1,0.35,0.11,1.26,0.54
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2016,\-,\-,\-,\-,0.09,1.63,0.05,1.04,0.37,0.11,1.27,0.57
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2017,\-,\-,\-,\-,0.09,1.67,0.05,1.07,0.38,0.11,1.3,0.59
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2018,\-,\-,\-,\-,0.09,1.71,0.06,1.1,0.38,0.12,1.34,0.61
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2019,\-,\-,\-,\-,0.09,1.75,0.06,1.13,0.39,0.12,1.38,0.64
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2020,\-,\-,\-,\-,0.1,1.8,0.06,1.17,0.4,0.12,1.42,0.66
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2021,\-,\-,\-,\-,0.1,1.85,0.06,1.21,0.41,0.12,1.47,0.69
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2022,\-,\-,\-,\-,0.1,1.91,0.06,1.26,0.42,0.13,1.52,0.72
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2023,\-,\-,\-,\-,0.11,1.97,0.07,1.31,0.44,0.13,1.58,0.76
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2024,\-,\-,\-,\-,0.11,2.05,0.07,1.37,0.45,0.13,1.65,0.8
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2025,\-,\-,\-,\-,0.12,2.13,0.07,1.44,0.47,0.14,1.72,0.84
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2026,\-,\-,\-,\-,0.12,2.22,0.08,1.51,0.49,0.14,1.8,0.89
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2027,\-,\-,\-,\-,0.13,2.35,0.08,1.61,0.52,0.15,1.91,0.95
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2028,\-,\-,\-,\-,0.14,2.46,0.08,1.69,0.54,0.16,2.01,1.01
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2029,\-,\-,\-,\-,0.14,2.56,0.09,1.77,0.56,0.16,2.1,1.07
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2030,\-,\-,\-,\-,0.15,2.66,0.09,1.85,0.58,0.17,2.19,1.12
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2031,\-,\-,\-,\-,0.16,2.76,0.1,1.93,0.6,0.17,2.28,1.18
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2032,\-,\-,\-,\-,0.16,2.86,0.1,2.01,0.62,0.18,2.37,1.23
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2033,\-,\-,\-,\-,0.17,2.96,0.1,2.09,0.64,0.18,2.46,1.29
BASE,COM_PROJ,\-,CB_Age_Care,\-,\-,2034,\-,\-,\-,\-,0.17,3.05,0.11,2.16,0.66,0.19,2.54,1.34
