,,~TFM_DINS,,,,,,,,,,,,
CB\_,,attribute,CSET_CN,year,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,,multiplier
CB\_,,COM_PROJ,CB\_Age_Care,2015,,,,,,,,,,0
CB\_,,COM_PROJ,CB\_Age_Care,2016,,,,,,,,,,0
CB\_,,COM_PROJ,CB\_Age_Care,2017,,,,,,,,,,0
CB\_,,COM_PROJ,CB\_Age_Care,2018,,,,,,,,,,0
CB\_,,COM_PROJ,CB\_Age_Care,2019,,,,,,,,,,0
CB\_,,COM_PROJ,CB\_Age_Care,2020,,,,,,,,,,1
CB\_,,COM_PROJ,CB\_Age_Care,2021,0.1,1.81,0.06,1.19,0.4,0.12,1.44,0.68,,0.98
CB\_,,COM_PROJ,CB\_Age_Care,2022,0.1,1.85,0.06,1.22,0.41,0.12,1.48,0.7,,0.97
CB\_,,COM_PROJ,CB\_Age_Care,2023,0.1,1.89,0.06,1.26,0.42,0.12,1.51,0.73,,0.96
CB\_,,COM_PROJ,CB\_Age_Care,2024,0.11,1.96,0.07,1.32,0.43,0.13,1.58,0.77,,0.96
CB\_,,COM_PROJ,CB\_Age_Care,2025,0.11,2.02,0.07,1.37,0.45,0.13,1.64,0.8,,0.95
CB\_,,COM_PROJ,CB\_Age_Care,2026,0.12,2.11,0.07,1.43,0.46,0.14,1.71,0.85,,0.95
CB\_,,COM_PROJ,CB\_Age_Care,2027,0.12,2.21,0.08,1.51,0.48,0.14,1.8,0.9,,0.94
CB\_,,COM_PROJ,CB\_Age_Care,2028,0.13,2.31,0.08,1.59,0.51,0.15,1.89,0.95,,0.94
CB\_,,COM_PROJ,CB\_Age_Care,2029,0.13,2.38,0.08,1.65,0.52,0.15,1.95,0.99,,0.93
CB\_,,COM_PROJ,CB\_Age_Care,2030,0.14,2.48,0.09,1.72,0.54,0.16,2.04,1.04,,0.93
CB\_,,COM_PROJ,CB\_Age_Care,2031,0.14,2.54,0.09,1.78,0.55,0.16,2.1,1.08,,0.92
CB\_,,COM_PROJ,CB\_Age_Care,2032,0.15,2.6,0.09,1.83,0.56,0.16,2.15,1.12,,0.91
CB\_,,COM_PROJ,CB\_Age_Care,2033,0.15,2.66,0.09,1.88,0.57,0.16,2.21,1.16,,0.9
CB\_,,COM_PROJ,CB\_Age_Care,2034,0.16,2.74,0.1,1.95,0.59,0.17,2.29,1.21,,0.9
