name,indices,topology_in_out,process_set_name,commodity_set_name
YearSplit,"[l,y]",,,
DiscountRate,[r],,,
DaySplit,"[lh,y]",,,
Conversionls,"[l,ls]",,,
Conversionld,"[ld,l]",,,
Conversionlh,"[lh,l]",,,
DaysInDayType,"[ls,ld,y]",,,
TradeRoute,"[r,rr,f,y]",,IRE,
DepreciationMethod,[r],,,
SpecifiedAnnualDemand,"[r,f,y]",,,
SpecifiedDemandProfile,"[r,f,l,y]",,,
AccumulatedAnnualDemand,"[r,f,y]",,,DEM
CapacityToActivityUnit,"[r,t]",,,
CapacityFactor,"[r,t,l,y]",,,
AvailabilityFactor,"[r,t,y]",,,
OperationalLife,"[r,t]",,,
ResidualCapacity,"[r,t,y]",,,
InputActivityRatio,"[r,t,f,m,y]",in,,
OutputActivityRatio,"[r,t,f,m,y]",out,,
CapitalCost,"[r,t,y]",,,
VariableCost,"[r,t,m,y]",,,
FixedCost,"[r,t,y]",,,
TechnologyToStorage,"[r,t,s,m]",,,
TechnologyFromStorage,"[r,t,s,m]",,,
StorageLevelStart,"[r,s]",,,
StorageMaxChargeRate,"[r,s]",,,
StorageMaxDischargeRate,"[r,s]",,,
MinStorageCharge,"[r,s,y]",,,
OperationalLifeStorage,"[r,s]",,,
CapitalCostStorage,"[r,s,y]",,,
ResidualStorageCapacity,"[r,s,y]",,,
CapacityOfOneTechnologyUnit,"[r,t,y]",,,
TotalAnnualMaxCapacity,"[r,t,y]",,,
TotalAnnualMinCapacity,"[r,t,y]",,,
TotalAnnualMaxCapacityInvestment,"[r,t,y]",,,
TotalAnnualMinCapacityInvestment,"[r,t,y]",,,
TotalTechnologyAnnualActivityUpperLimit,"[r,t,y]",,,
TotalTechnologyAnnualActivityLowerLimit,"[r,t,y]",,,
TotalTechnologyModelPeriodActivityUpperLimit,"[r,t]",,,
TotalTechnologyModelPeriodActivityLowerLimit,"[r,t]",,,
ReserveMarginTagTechnology,"[r,t,y]",,,
ReserveMarginTagFuel,"[r,f,y]",,,
ReserveMargin,"[r,y]",,,
RETagTechnology,"[r,t,y]",,,
RETagFuel,"[r,f,y]",,,
REMinProductionTarget,"[r,y]",,,
EmissionActivityRatio,"[r,t,e,m,y]",out,,
EmissionsPenalty,"[r,e,y]",,,
AnnualExogenousEmission,"[r,e,y]",,,
AnnualEmissionLimit,"[r,e,y]",,,
ModelPeriodExogenousEmission,"[r,e]",,,
ModelPeriodEmissionLimit,"[r,e]",,,
DiscountRateStorage,"[r,s]",,,
