times_parameter,osemosys_parameter
G_YRFR,YearSplit
G_DRATE,DiscountRate
,DaySplit
,Conversionls
,Conversionld
,Conversionlh
,DaysInDayType
,TradeRoute
,DepreciationMethod
COM_PROJ,SpecifiedAnnualDemand
COM_FR,SpecifiedDemandProfile
COM_CUMNET,AccumulatedAnnualDemand
PRC_CAPACT,CapacityToActivityUnit
NCAP_AF,CapacityFactor
NCAP_AFA,AvailabilityFactor
NCAP_TLIFE,OperationalLife
PRC_RESID,ResidualCapacity
VDA_FLOP,InputActivityRatio
PRC_ACTFLO,OutputActivityRatio
NCAP_COST,CapitalCost
ACT_COST,VariableCost
NCAP_FOM,FixedCost
,TechnologyToStorage
,TechnologyFromStorage
,StorageLevelStart
,StorageMaxChargeRate
,StorageMaxDischargeRate
,MinStorageCharge
NCAP_TLIFE,OperationalLifeStorage
NCAP_COST,CapitalCostStorage
PRC_RESID,ResidualStorageCapacity
NCAP_DISC,CapacityOfOneTechnologyUnit
CAP_BND,TotalAnnualMaxCapacity
CAP_BND,TotalAnnualMinCapacity
NCAP_BND,TotalAnnualMaxCapacityInvestment
NCAP_BND,TotalAnnualMinCapacityInvestment
ACT_BND,TotalTechnologyAnnualActivityUpperLimit
ACT_BND,TotalTechnologyAnnualActivityLowerLimit
ACT_CUM,TotalTechnologyModelPeriodActivityUpperLimit
ACT_CUM,TotalTechnologyModelPeriodActivityLowerLimit
NCAP_PKCNT,ReserveMarginTagTechnology
COM_PEAK,ReserveMarginTagFuel
COM_PKRSV,ReserveMargin
UC_FLO (UCN=RPS),RETagTechnology
UC_FLO (UCN=RPS),RETagFuel
UC_RHS (UCN=RPS),REMinProductionTarget
FLO_EMIS,EmissionActivityRatio
COM_TAXNET,EmissionsPenalty
,AnnualExogenousEmission
COM_BNDNET,AnnualEmissionLimit
,ModelPeriodExogenousEmission
COM_CUMNET,ModelPeriodEmissionLimit
,DiscountRateStorage
